S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
13,NOTA,None of the Above,5807,17,5824,0.45,Moradabad,Uttar Pradesh,8085
1,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Muzaffarnagar,Uttar Pradesh,8086
2,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,443815,2234,446049,41.35,Muzaffarnagar,Uttar Pradesh,8087
3,DARA SINGH PRAJAPATI,Bahujan Samaj Party,143323,384,143707,13.32,Muzaffarnagar,Uttar Pradesh,8088
4,SUNIL TYAGI,Independent,7131,36,7167,0.66,Muzaffarnagar,Uttar Pradesh,8089
5,KAVITA,Rashtrawadi Janlok Party (Satya),1970,30,2000,0.19,Muzaffarnagar,Uttar Pradesh,8090
6,SHASHIKANT SHAMAR,Independent,1429,2,1431,0.13,Muzaffarnagar,Uttar Pradesh,8091
7,BIRBAL SINGH,Vishal Janta Party,1419,2,1421,0.13,Muzaffarnagar,Uttar Pradesh,8092
8,NEEL KUMAR,Jai Samta Party,858,3,861,0.08,Muzaffarnagar,Uttar Pradesh,8093
9,RESHU SHARMA,Independent,679,5,684,0.06,Muzaffarnagar,Uttar Pradesh,8094
10,ANKUR,Independent,362,10,372,0.03,Muzaffarnagar,Uttar Pradesh,8095
11,MANUJ VERMA,Independent,333,7,340,0.03,Muzaffarnagar,Uttar Pradesh,8096
12,NOTA,None of the Above,3884,32,3916,0.36,Muzaffarnagar,Uttar Pradesh,8097
1,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,Nagina,Uttar Pradesh,8098
2,OM KUMAR,Bharatiya Janata Party,359751,1328,361079,36.06,Nagina,Uttar Pradesh,8099
3,MANOJ KUMAR,Samajwadi Party,102104,270,102374,10.22,Nagina,Uttar Pradesh,8100
4,SURENDRA PAL SINGH,Bahujan Samaj Party,13212,60,13272,1.33,Nagina,Uttar Pradesh,8101
5,JOGENDRA,Independent,4509,9,4518,0.45,Nagina,Uttar Pradesh,8102
6,SANJEEV KUMAR,Independent,2195,6,2201,0.22,Nagina,Uttar Pradesh,8103
7,NOTA,None of the Above,5287,20,5307,0.53,Nagina,Uttar Pradesh,8104
1,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,Phulpur,Uttar Pradesh,8105
2,AMAR NATH SINGH MAURYA,Samajwadi Party,446596,1672,448268,44.17,Phulpur,Uttar Pradesh,8106
3,JAGANNATH PAL,Bahujan Samaj Party,82375,211,82586,8.14,Phulpur,Uttar Pradesh,8107
4,MAHIMA PATEL,Apna Dal (Kamerawadi),4134,28,4162,0.41,Phulpur,Uttar Pradesh,8108
