S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
2,DHANANI PARESH,Indian National Congress,368964,4760,373724,29.35,Rajkot,Gujarat,229
3,CHAMANBHAI NAGJIBHAI SAVSANI,Bahujan Samaj Party,10356,109,10465,0.82,Rajkot,Gujarat,230
4,AJAGIYA NIRALBHAI AMRUTLAL,Independent,3674,6,3680,0.29,Rajkot,Gujarat,231
5,BHAVESHBHAI KANTILAL PIPALIYA,Independent,2846,10,2856,0.22,Rajkot,Gujarat,232
6,BHAVESH UPENDRABHAI ACHARYA,Independent,2806,34,2840,0.22,Rajkot,Gujarat,233
7,PRAKASH GOVINDBHAI SINDHAV,Independent,2355,34,2389,0.19,Rajkot,Gujarat,234
8,ZALA NAYAN J.,Independent,2321,29,2350,0.18,Rajkot,Gujarat,235
9,JIGNESHBHAI MAHAJAN,Independent,1322,10,1332,0.1,Rajkot,Gujarat,236
10,NOTA,None of the Above,15288,634,15922,1.25,Rajkot,Gujarat,237
1,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,670929,6389,677318,53.36,Sabarkantha,Gujarat,238
2,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,515902,5734,521636,41.09,Sabarkantha,Gujarat,239
3,PARMAR RAMESHCHANDRA NANJIBHAI,Bahujan Samaj Party,9850,117,9967,0.79,Sabarkantha,Gujarat,240
4,SOLANKI CHHAGANBHAI KEVLABHAI,Independent,7539,12,7551,0.59,Sabarkantha,Gujarat,241
5,VIJAYSINH NAVALSINH CHAUHAN,Independent,6692,29,6721,0.53,Sabarkantha,Gujarat,242
6,BHAVNABA NARENDRASINH PARMAR,Independent,5365,94,5459,0.43,Sabarkantha,Gujarat,243
7,ANILKUMAR NIRANJANKUMAR MUNDADA,Log Party,5225,22,5247,0.41,Sabarkantha,Gujarat,244
8,MUSTAKBHAI JAMALBHAI SANGHANI,Independent,3196,7,3203,0.25,Sabarkantha,Gujarat,245
9,KATARA VARUNKUMAR KALYANSINH,Gunj Satya Ni Janata Party,2717,56,2773,0.22,Sabarkantha,Gujarat,246
10,RAKESHSINH MAHOBATSINH ZALA,Bhartiya Jan Parishad,1882,69,1951,0.15,Sabarkantha,Gujarat,247
11,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,1782,45,1827,0.14,Sabarkantha,Gujarat,248
12,ASHOK L VAGHELA,Independent,1673,15,1688,0.13,Sabarkantha,Gujarat,249
13,KANUBHAI KHIMJIBHAI GADHAVI,Independent,1467,38,1505,0.12,Sabarkantha,Gujarat,250
14,THAKOR INDIRABEN JITENDRASINH,Insaniyat Party,1402,34,1436,0.11,Sabarkantha,Gujarat,251
15,NOTA,None of the Above,20665,411,21076,1.66,Sabarkantha,Gujarat,252
1,MUKESHKUMAR CHANDRAKAANT DALAL ( Uncontested ),Bharatiya Janata Party,-,-,-,-,Surat,Gujarat,253
1,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,664093,5656,669749,59.2,Surendranagar,Gujarat,254
2,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,403461,4671,408132,36.07,Surendranagar,Gujarat,255
3,DABHI ASHOKBHAI SUKHABHAI,Bahujan Samaj Party,11885,151,12036,1.06,Surendranagar,Gujarat,256
4,VINODBHAI BABUBHAI SATROTIYA,Independent,5940,6,5946,0.53,Surendranagar,Gujarat,257
5,KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,Independent,5173,16,5189,0.46,Surendranagar,Gujarat,258
6,CHAVDA NILESHBHAI MANSUKHBHAI,Rashtra Nirman Party,4103,26,4129,0.36,Surendranagar,Gujarat,259
7,ZALA DEVRAJBHAI BABUBHAI,Independent,2442,21,2463,0.22,Surendranagar,Gujarat,260
8,J.K.PATEL,Independent,2308,59,2367,0.21,Surendranagar,Gujarat,261
9,DEVENDRA MOHANDAS MAHANT,Gunj Satya Ni Janata Party,2042,9,2051,0.18,Surendranagar,Gujarat,262
10,GEDIYA KRUSHANAVADAN HARIPRASADBHAI,Independent,1435,24,1459,0.13,Surendranagar,Gujarat,263
11,ANANDBHAI PACHANBHAI RATHOD,Independent,1241,8,1249,0.11,Surendranagar,Gujarat,264
12,DILIPBHAI PARSHOTTAMBHAI MAKWANA,New India United Party,1222,35,1257,0.11,Surendranagar,Gujarat,265
13,ASHOK PALAJIBHAI RATHOD,Independent,1087,4,1091,0.1,Surendranagar,Gujarat,266
14,PATEL MADHUSUDAN BALDEVBHAI,Mission All India Independent Justice Party,948,12,960,0.08,Surendranagar,Gujarat,267
15,NOTA,None of the Above,12799,500,13299,1.18,Surendranagar,Gujarat,268
1,DR. HEMANG JOSHI,Bharatiya Janata Party,865825,7364,873189,72.04,Vadodara,Gujarat,269
2,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,287570,3493,291063,24.01,Vadodara,Gujarat,270
3,JADAV AMITKUMAR RAMJIBHAI,Bahujan Samaj Party,7473,56,7529,0.62,Vadodara,Gujarat,271
4,RAJESH RATHOD,Independent,5416,53,5469,0.45,Vadodara,Gujarat,272
5,ANILBHAI SHARMA,Hindrashtra Sangh,3436,17,3453,0.28,Vadodara,Gujarat,273
