S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
12,GIRAN SINGH,Bhartiya Shakti Chetna Party,3485,7,3492,0.31,KHAJURAHO,Madhya Pradesh,198
13,KESHKALI,Rashtriya Jansanchar Dal,2861,11,2872,0.25,KHAJURAHO,Madhya Pradesh,199
14,PANNA LAL TRIPATHI AD.,Indian Peoples Adhikar Party,2794,3,2797,0.25,KHAJURAHO,Madhya Pradesh,200
15,NOTA,None of the Above,16134,23,16157,1.42,KHAJURAHO,Madhya Pradesh,201
1,GYANESHWAR PATIL,Bharatiya Janata Party,861188,1491,862679,57.04,KHANDWA,Madhya Pradesh,202
2,NARENDRA PATEL,Indian National Congress,591540,1168,592708,39.19,KHANDWA,Madhya Pradesh,203
3,MUNNALAL S/O DHANNALAL TEJI,Bahujan Samaj Party,11796,22,11818,0.78,KHANDWA,Madhya Pradesh,204
4,ABHINESH SINGH,Rashtriya Jan Awaz Party,9295,4,9299,0.61,KHANDWA,Madhya Pradesh,205
5,LAXMI NARAYAN KATARE,Independent,4902,3,4905,0.32,KHANDWA,Madhya Pradesh,206
6,MANOJ KUMAR VISHWAMBHARNATH AGRAWAL,Independent,4346,1,4347,0.29,KHANDWA,Madhya Pradesh,207
7,MAHESH PAWAR,Peoples Party of India (Democratic),3701,8,3709,0.25,KHANDWA,Madhya Pradesh,208
8,SHIVAM SEN,Independent,3479,2,3481,0.23,KHANDWA,Madhya Pradesh,209
9,RAVINDRA SONVANE,Independent,2679,6,2685,0.18,KHANDWA,Madhya Pradesh,210
10,PRAKASH RATHOR BANJARA,Aam Janta Party (India),2368,2,2370,0.16,KHANDWA,Madhya Pradesh,211
11,NARAYAN SUKHADEV PAL,Bharatiya Yuva Jan Ekta Party,1699,3,1702,0.11,KHANDWA,Madhya Pradesh,212
12,NOTA,None of the Above,12817,22,12839,0.85,KHANDWA,Madhya Pradesh,213
1,GAJENDRA SINGH PATEL,Bharatiya Janata Party,818291,1572,819863,52.6,KHARGONE,Madhya Pradesh,214
2,PORLAL BATHA KHARTE,Indian National Congress,683651,1194,684845,43.93,KHARGONE,Madhya Pradesh,215
3,DEVISINGH NARGAVE,Communist Party of India,14680,6,14686,0.94,KHARGONE,Madhya Pradesh,216
4,SHOBHARAM DAWAR,Bahujan Samaj Party,12047,22,12069,0.77,KHARGONE,Madhya Pradesh,217
5,NARSINGH SOLANKI,Independent,9052,6,9058,0.58,KHARGONE,Madhya Pradesh,218
6,NOTA,None of the Above,18237,20,18257,1.17,KHARGONE,Madhya Pradesh,219
1,FAGGAN SINGH KULASTE,Bharatiya Janata Party,749761,1614,751375,48.93,MANDLA,Madhya Pradesh,220
2,OMKAR SINGH MARKAM,Indian National Congress,645759,1770,647529,42.17,MANDLA,Madhya Pradesh,221
3,MAHESH KUMAR WATTEE,Gondvana Gantantra Party,37686,111,37797,2.46,MANDLA,Madhya Pradesh,222
4,INDAR SINGH UIKEY,Bahujan Samaj Party,16587,30,16617,1.08,MANDLA,Madhya Pradesh,223
5,CHANDRA SINGH KUSHRAM,Bhartiya Shakti Chetna Party,15533,25,15558,1.01,MANDLA,Madhya Pradesh,224
6,SITAR MARKAM,Independent,10365,10,10375,0.68,MANDLA,Madhya Pradesh,225
