S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
14,ANABERU THIPPESWAMY,Socialist Unity Centre Of India (COMMUNIST),842,7,849,0.06,Davanagere,Karnataka,271
15,SALEEM S,Independent,799,-,799,0.06,Davanagere,Karnataka,272
16,MOHAMED HAYATH.M,Independent,721,1,722,0.05,Davanagere,Karnataka,273
17,ABDUL NAZEER AHAMMED,Independent,651,1,652,0.05,Davanagere,Karnataka,274
18,RASHEED KHAN,Independent,599,1,600,0.05,Davanagere,Karnataka,275
19,M.G.SRIKANTH,Navabharath Sena,555,6,561,0.04,Davanagere,Karnataka,276
20,M.P. KHALANDAR,Country Citizen Party,536,3,539,0.04,Davanagere,Karnataka,277
21,PEDDAPPA S,Independent,506,2,508,0.04,Davanagere,Karnataka,278
22,G.M.BARKATH ALI BASHA,Independent,470,1,471,0.04,Davanagere,Karnataka,279
23,K.S. VEERBHADRAPPA,Karnataka Rashtra Samithi,466,9,475,0.04,Davanagere,Karnataka,280
24,VEERESH.S (LION VEERESH),Rani Chennamma Party,457,1,458,0.03,Davanagere,Karnataka,281
25,DODDESH.H.S,Janahitha Paksha,439,1,440,0.03,Davanagere,Karnataka,282
26,BARKATH ALI,Independent,409,2,411,0.03,Davanagere,Karnataka,283
27,MANJU. MARIKOPPA,Independent,376,2,378,0.03,Davanagere,Karnataka,284
28,RUDRESHA.K.H,Samaj Vikas Kranti Party,346,2,348,0.03,Davanagere,Karnataka,285
29,RAVINAIK. B,Independent,317,3,320,0.02,Davanagere,Karnataka,286
30,MAHABUB BASHA,Independent,308,-,308,0.02,Davanagere,Karnataka,287
31,NOTA,None of the Above,3165,11,3176,0.24,Davanagere,Karnataka,288
1,PRALHAD JOSHI,Bharatiya Janata Party,713649,2582,716231,52.41,Dharwad,Karnataka,289
2,VINOD ASOOTI,Indian National Congress,617616,1291,618907,45.29,Dharwad,Karnataka,290
3,SHAKEELAHMAD.D.MULLA,Independent,5866,6,5872,0.43,Dharwad,Karnataka,291
4,S. S. PATIL,Independent,5153,8,5161,0.38,Dharwad,Karnataka,292
5,RAJU ANANTSA NAIKWADI,Independent,3601,-,3601,0.26,Dharwad,Karnataka,293
